BRAND AND MODEL	MODEL	SHOWNAME	FOLDER	EXTR2	MKUBIFS_ARGS	UBINIZE_ARGS	ROOTNAME	KERNELNAME	ACTION
Amiko Viper 4K	viper4k	Amiko Viper 4K	/amiko/viper4k	/amiko			rootfs.tar.bz2	kernel.bin	none
Amiko Viper Combo	vipercombo	Amiko Viper Combo	/vipercombo		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Amiko Viper Combo HDD	vipercombohdd	Amiko Viper Combo HDD	/vipercombohdd		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Amiko Viper Slim	viperslim	Amiko Viper Slim	/viperslim		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	force
Amiko Viper T2C	vipert2c	Amiko Viper T2C	/vipert2c		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Anadol 4K Eco	anadol4k	Anadol 4K Eco	/dinobot/u5	/dinobot			rootfs.tar.bz2	kernel.bin	none
Anadol 4K Eco V2	anadol4kv2	Anadol 4K Eco V2	/dinobot/u51	/dinobot			rootfs.tar.bz2	kernel.bin	none
Anadol Pro HD5	anadolprohd5	Anadol Pro HD5	/dinobot/u42	/dinobot	-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.ubi	uImage	none
Atemio 5x00-HD	atemio5x00	Atemio 5x00-HD	/atemio/5x00	/atemio	-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Atemio 6000-HD	atemio6000	Atemio 6000-HD	/atemio/6000	/atemio	-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Atemio 6100-HD	atemio6100	Atemio 6100-HD	/atemio/6100	/atemio	-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Atemio 6200-HD	atemio6200	Atemio 6200-HD	/atemio/6200	/atemio	-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Atemio Nemesis	atemionemesis	Atemio Nemesis	/atemio/8x00	/atemio	-m 4096 -e 1040384 -c 1984	-m 4096 -p 1024KiB	rootfs.bin	kernel.bin	noforce
Atto.TV Turing	turing	Atto.TV Turing	/atto/turing	/atto			rootfs.tar.bz2	kernel.bin	none
AX Triplex	triplex	AX Triplex	/triplex		-m 2048 -e 126976 -c 8192 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
AX Ultra	axultra	AX Ultra	/axultra		-m 2048 -e 126976 -c 8192 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
AX Ultrabox	ultrabox	AX Ultrabox	/ultrabox		-m 2048 -e 126976 -c 8192 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
AXAS E3HD	axase3	AXAS E3HD	/e3hd		-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
AXAS E4HD	e4hd	AXAS E4HD	/e4hd		-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
AXAS E4HD Combo	e4hdcombo	AXAS E4HD Combo	/e4hdcombo		-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
AXAS E4HD Hybrid	e4hdhybrid	AXAS E4HD Hybrid	/e4hd		-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
AXAS E4HD Ultra	e4hdultra	AXAS E4HD Ultra	/e4hd				rootfs.tar.bz2	kernel.bin	force
AXAS HIS 4K Combo	axashis4kcombo	AXAS HIS 4K Combo	/axas/axascombo	/axas	-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.ubi	uImage	none
AXAS HIS 4K Combo Plus	axashis4kcomboplus	AXAS HIS 4K Combo Plus	/axas/axascomboplus	/axas	-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.ubi	uImage	none
AXAS His C 4K	axashisc4k	AXAS His C 4K	/axas/axasc4k	/axas			rootfs.tar.bz2	kernel.bin	none
AXAS His Twin	axashistwin	AXAS His Twin	/axas/axashistwin	/axas	-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.ubi	uImage	none
Beyonwiz T2	beyonwizt2	Beyonwiz T2	/beyonwiz/hde2	/beyonwiz	-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Beyonwiz T3	beyonwizt3	Beyonwiz T3	/beyonwiz/hdx	/beyonwiz	-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Beyonwiz T4	beyonwizt4	Beyonwiz T4	/beyonwiz/hdp	/beyonwiz	-m 4096 -e 1040384 -c 1984	-m 4096 -p 1024KiB	rootfs.bin	kernel.bin	noforce
Beyonwiz U4	beyonwizu4	Beyonwiz U4	/beyonwiz/u4	/beyonwiz			rootfs.tar.bz2	kernel.bin	noforce
Beyonwiz V2	beyonwizv2	Beyonwiz V2	/beyonwiz/v2	/beyonwiz			rootfs.tar.bz2	kernel.bin	none
Dreambox DM900	dm900	Dreambox DM900	/dm900				rootfs.tar.bz2	kernel.bin	none
Dreambox DM920	dm920	Dreambox DM920	/dm920				rootfs.tar.bz2	kernel.bin	none
Edision Optimuss OS	optimussos	Edision Optimuss OS	/update/optimussos/cfe	/update/optimussos	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Edision Optimuss OS1	optimussos1	Edision Optimuss OS1	/update/optimussos1/cfe	/update/optimussos1	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Edision Optimuss OS1 Plus	optimussos1plus	Edision Optimuss OS1 Plus	/update/optimussos1plus/cfe	/update/optimussos1plus	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Edision Optimuss OS2	optimussos2	Edision Optimuss OS2	/update/optimussos2/cfe	/update/optimussos2	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Edision Optimuss OS2 Plus	optimussos2plus	Edision Optimuss OS2 Plus	/update/optimussos2plus/cfe	/update/optimussos2plus	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Edision Optimuss OS3 Plus	optimussos3plus	Edision Optimuss OS3 Plus	/update/optimussos3plus/cfe	/update/optimussos3plus	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	oe_rootfs.bin	oe_kernel.bin	none
Edision OS mini	osmini	Edision OS mini	/osmini		-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Edision OS mini 4K	osmini4k	Edision OS mini 4K	/osmini4k				rootfs.tar.bz2	kernel.bin	none
Edision OS mini plus	osminiplus	Edision OS mini plus	/osminiplus		-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Edision OS mega	osmega	Edision OS mega	/osmega		-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Edision OS mio 4K	osmio4k	Edision OS mio 4K	/osmio4k				rootfs.tar.bz2	kernel.bin	none
Edision OS mio 4K plus	osmio4kplus	Edision OS mio 4K plus	/osmio4kplus				rootfs.tar.bz2	kernel.bin	none
Edision OS nino	osnino	Edision OS nino	/osnino		-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Edision OS ninoplus	osninoplus	Edision OS ninoplus	/osninoplus		-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Edision OS ninopro	osninopro	Edision OS ninopro	/osninopro		-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Evo ENfinity	enfinity	Evo ENfinity	/enfinity		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Evo ENfinity mini	evomini	Evo ENfinity mini	/mini		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Evo ENfinity mini+	evominiplus	Evo ENfinity mini+	/miniplus		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Evo ENfinity T2C	t2cable	Evo ENfinity T2C	/t2cable		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Evo enfinityX 1plus	x1plus	Evo enfinityX 1plus	/x1plus		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Evo enfinityX 2plus	x2plus	Evo enfinityX 2plus	/x2plus		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Evo enfinityX combo plus	xcombo	Evo enfinityX combo plus	/xcombo		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Evo Nova Combo	novacombo	Evo Nova Combo	/novacombo		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Evo Nova IP	novaip	Evo Nova IP	/novaip		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Evo Nova Twin	novatwin	Evo Nova Twin	/novatwin		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Evo Slim	evoslim	Evo Slim	/xpeedlxpro		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Evo Slim SE	evoslimse	Evo Slim SE	/slim		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Evo Slim T2C	evoslimt2c	Evo Slim T2C	/slimt2c		-m 2048 -e 126976 -c 4096	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Ferguson Ariva ATV Combo	arivacombo	Ferguson Ariva ATV Combo	/e2/update	/e2			rootfs.tar.bz2	kernel.bin	none
Ferguson Ariva ATV Twin	arivatwin	Ferguson Ariva ATV Twin	/e2/update	/e2			rootfs.tar.bz2	kernel.bin	none
Formuler F1	formuler1	Formuler F1	/formuler1		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Formuler F3	formuler3	Formuler F3	/formuler3		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Formuler F4	formuler4	Formuler F4	/formuler4		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Formuler F4 Turbo	formuler4turbo	Formuler F4 Turbo	/formuler4turbo		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
GI ET7000 Mini	et7000mini	GI ET7000 Mini	/et7x00		-m 2048 -e 126976 -c 8192	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
GI ET11000 4k	et1x000	GI ET11000	/et1x000				rootfs.tar.bz2	kernel.bin	noforce
Gigablue 800SE	gb800se	Gigablue 800SE	/gigablue/se	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue 800SEPlus	gb800seplus	Gigablue 800SEPlus	/gigablue/seplus	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
GigaBlue 800 Solo	gb800solo	GigaBlue 800 Solo	/gigablue/solo	/gigablue	-e131072 -l -p125829120	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue 800UE	gb800ue	Gigablue 800UE	/gigablue/ue	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue 800UEPlus	gb800ueplus	Gigablue 800UEPlus	/gigablue/ueplus	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue IP 4K	gbip4k	Gigablue IP 4K	/gigablue/ip4k	/gigablue			rootfs.tar.bz2	kernel.bin	none
Gigablue IPBox	gbipbox	Gigablue IPBox	/gigablue/ipbox	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue Quad	gbquad	Gigablue Quad	/gigablue/quad	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue Quad 4K	gbquad4k	Gigablue Quad 4K	/gigablue/quad4k	/gigablue			rootfs.tar.bz2	kernel.bin	force
Gigablue QuadPlus	gbquadplus	Gigablue QuadPlus	/gigablue/quadplus	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue Trio 4K	gbtrio4k	Gigablue Trio 4K	/gigablue/trio4k	/gigablue			rootfs.tar.bz2	kernel.bin	none
Gigablue UE 4K	gbue4k	Gigablue UE 4K	/gigablue/ue4k	/gigablue			rootfs.tar.bz2	kernel.bin	force
Gigablue UltraSE	gbultrase	Gigablue UltraSE	/gigablue/ultrase	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue UltraUE	gbultraue	Gigablue UltraUE	/gigablue/ultraue	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue UltraUEH	gbultraueh	Gigablue UltraUEH	/gigablue/ultraueh	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
Gigablue X1	gbx1	Gigablue X1	/gigablue/x1	/gigablue	-m 2048 -e 126976 -c 4096 -F	-m 2048 -p 128KiB	rootfs.bin	kernel.bin	noforce
